my_sentence,labels
"AdvocacyAwardsBack to SchoolBooklistsMoreBooks & MediaBudgets & FundingComputer ScienceDesign/ArchitectureAuthors IllustratorsBest OfBooklistsBooksMoreCollectionsMediaReferenceSeries Made SimpleAdvocacyBest OfBudgets & FundingComputer ScienceMoreClassroom CurriculaDesign/ArchitectureCover StoryCareerAdvocacyAwardsBack to SchoolBooklistsMoreBooks & MediaBudgets & FundingCareerClassroom & CurriculaAdvocacyAwardsBooks & MediaBudgets & FundingMoreBuildingsCensorshipCollectionsCover Story0--33--5ElementaryTeensTweensBooks & MediaPrograms & ProgrammingDiverse BooksTech100 Scope NotesA Fuse #8 ProductionGood Comics for KidsHeavy Medal: A Mock Newbery BlogNeverending SearchPolitics in PracticeTeen Librarian ToolboxThe Classroom BookshelfThe YarnCOVID-19OpinionClassroomGraphic NovelsIdeasPeopleResearchEvents & PDJob ZoneLive EventsOnline CoursesMaster ClassesWebcastsSLJ ProjectsPrivacy PolicySubscriber ServicesContact UsDespite the rich history of stories within the D/deaf, Hard of Hearing, or Deaf-Blind community, finding #OwnVoices books, especially for children and teens, remains a challenge.",stories
"Hopefully this list will providea starting point and serve as a call to action for more books about Deaf kids.Over the past several years, efforts to diversify library collections and provide resources that reflect the authentic experiences of individuals from historically marginalized groups have resulted in prioritizing #OwnVoices literature.",identities of deaf
"But readers seeking titles grounded in a firsthand D/deaf, Hard of Hearing, or Deaf-Blind (DHHDB) perspective are unlikely to find many offerings.",stories
"Why arent we, the DHHDB community, writing our own stories?",stories
The answer is complicated.,identities of deaf
"American Sign Language (ASL) has a rich tradition of storytelling, but its a visual language with no written equivalent.",stories
"Additionally, as a result of a long history of discrimination against DHHDB individuals, stigma around hearing loss, and harmful and inadequate educational policies, including the prevalence of oralism and the practice of forbidding sign language in many schools for decades, some DHHDB people have low English proficiency.",identities of deaf
"Still, our imaginations soar.",stories
"Simply do an Internet search for Deaf poetry to experience the breadth and artistry of DHHDB creative storytelling.Despite the rich history of stories within the DHHDB community, finding #OwnVoices books, especially for children and teens, remains a challenge.",stories
"The following middle grade selections are mostly written by hearing authors, and several are backlist titles.",stories
"Though all of these books feature positive and authentic characters, few are by people of color or take an intersectional perspective, even though auditory disabilities exist in every population.",fiction books
"We hope this list provides a starting point for library collections and serves as a call to action for the publication of more books about Deaf kids, especially those written and illustrated by #OwnVoices creators.",identities of deaf
"Hopefully, with the success of these titles and the widespread popularity of ASL, we can still make an impact on our own terms.A note on terminology: Deaf with a capital D identifies an individual as culturally deaf; deaf with a lowercase d simply denotes an audiological condition.",identities of deaf
"For more information on Deaf culture and terminology, visit the National Association of the Deaf.ALEXANDER, Sally Hobart.",identities of deaf
"She Touched the World: Laura Bridgman, Deaf-Blind Pioneer.",stories
HMH/Clarion.,identities of deaf
2008.,identities of deaf
"ISBN 9780618852994.Gr 5-7At two years old, Laura Bridgman lost her senses of sight, hearing, smell, and taste.",stories
She later attended the countrys first school for the blind.,identities of deaf
"Before Helen Keller, Bridgman provided evidence that the Deaf-Blind are intelligent and educable.",identities of deaf
"The back matter by Alexander, who is blind and Hard of Hearing, also discusses medical and technological advances.BELL, Cece.",identities of deaf
El Deafo.,stories
illus.,identities of deaf
by author.,identities of deaf
Abrams.,identities of deaf
2014.,None
"ISBN 9781419712173.Gr 3-7This Newbery Honorwinning graphic novel about the authors early experiences with deafness, a bulky hearing aid, and navigating friendship contains hilarious passages on the perils of lip-reading and sleepovers.",identities of deaf
Ceces superpower makes her relatable to all readers and a hero to deaf kids with assistive hearing devices.,stories
"A great choice for reluctant and delayed readers as well.GINO, Alex.",stories
"You Dont Know Everything, Jilly P!",fiction books
Scholastic.,identities of deaf
2018.,identities of deaf
"ISBN 9780545956246.Gr 3-7When Jillys baby sister Emma is born deaf, Jilly grows closer to her online friend Derek, who is Deaf and black.",stories
"The novel addresses Black Lives Matter and Deaf culture issues, with white, hearing Jilly stumbling as she struggles to understand her privilege and attendant responsibilities; her willingness to learn will endear her to readers.",identities of deaf
"Gino thoughtfully finds the necessary balance in the debate over cochlear implants.GORDON, Jean M., ed.",hearing implantation
The Gallaudet Childrens Dictionary of American Sign Language.,learning sign language
Gallaudet.,identities of deaf
2014.,identities of deaf
ISBN 9781563686313.Gr K-4ASL is the language used by members of the American Deaf community.,learning sign language
"When teaching kids, its important to use vetted resources from inside the community.",learning sign language
"More than 1,000 sign drawings, colorful illustrations, tips on navigating Deaf culture, and a DVD featuring native signers make this an essential reference book.KELLY, Erin Entrada.",learning sign language
"Hello, Universe.",fiction books
HarperCollins/Greenwillow.,stories
2017.,identities of deaf
"ISBN 978062414151.Gr 3-7If she was deaf, how come she could talk?",stories
Even if it sounded like her mouth was full of marbles.,stories
"Thats the bully Chet talking about Valencia, whose life fatefully intersects with other middle graders on a summer day in Kellys Newbery Medalwinning novel.",stories
"Like many deaf and Hard of Hearing kids, Valencia doesnt know sign language and wears hearing aids, which are rendered useless with loud background noise.",identities of deaf
"Her self-confidence and intrepid spirit will have young readers cheering her on.KELLY, Lynne.",stories
Song for a Whale.,fiction books
Delacorte.,identities of deaf
2019.,identities of deaf
ISBN 9781524770235.Gr 3-7Iris is a stellar Deaf character who realistically navigates a world where her intelligence isnt recognized at school or home.,stories
"Her attempts to reach Blue 55, a whale who cannot communicate with its own species, reflect her profound loneliness.",stories
"A rare book where Deaf family and friends sign together.MARTIN, Kentrell.",stories
Kaseys First Day of Basketball.,stories
Shelleys Adventures.,fiction books
2016.,identities of deaf
ISBN 9780985184551.Gr 2-5Kasey worries about what others will think of his hearing aid.,fiction books
He takes it off during the first day of basketball practice and quickly realizes his mistake.,stories
This is a lighthearted story of self-acceptance about a black Deaf boy.,stories
"Readers also learn 10 signs and some basketball trivia.SELZNICK, Brian.",learning sign language
Wonderstruck.,fiction books
illus.,identities of deaf
by author.,identities of deaf
Scholastic.,identities of deaf
2011.,identities of deaf
ISBN 9780545027892.Gr 4-6This Schneider Family Book Awardwinning tour de force presents the lives of two deaf children told 50 years apartone story told primarily in illustrations and the other mostly with words.,stories
"Its a singular attempt to chart Deaf history in America, featuring Selznicks exquisite artwork.",identities of deaf
"The film adaptation, starring Deaf actress Millicent Simmonds, is an excellent companion to the book.WOODSON, Jacqueline.",stories
Feathers.,identities of deaf
Puffin.,identities of deaf
2010.,identities of deaf
"ISBN 9780142415502.Gr 5-7 When a white kid nicknamed The Jesus Boy comes to Frannies majority-black middle school, their growing friendship makes her question her faith and see things in a new light, including her relationship with her older brother Sean, who is Deaf.",fiction books
"The book illustrates how a loving family creatively adapts to one members deafness.Ann Clare LeZotte works for the Alachua County (FL) Library District, with a focus on intergenerational ASL literacy and inclusive youth programming.",stories
"Her middle grade novel, Show Me a Sign, will be published by Scholastic in March.Libraries are always evolving.",fiction books
Stay ahead.,identities of deaf
Log In.Be the first reader to comment.First Name should not be empty !,identities of deaf
!,identities of deaf
!Last Name should not be empty !,identities of deaf
!,identities of deaf
!email should not be empty !,identities of deaf
!,identities of deaf
!Comment should not be empty !,identities of deaf
!,identities of deaf
!Please check the reCaptchaComment should not be empty !,identities of deaf
!,identities of deaf
"!You did not sign in correctly or your account is temporarily disabledPasswords must include at least 8 characters.Your password must include at least three of these elements: lower case letters, upper case letters, numbers, or special characters.The email you entered already exists.",identities of deaf
"Please reset your password to gain access to your account.News, opinion, features, and breaking storiesExclusive video library and multimedia contentFull, searchable archives of more than 300,000 reviews and thousands of articlesResearch reports, data analysis, white papers, and expert opinionPasswords must include at least 8 characters.",identities of deaf
"Please try your entry again.Your password must include at least three of these elements: lower case letters, upper case letters, numbers, or special characters.",identities of deaf
Please try your entry again.We are currently offering this content for free.,identities of deaf
"Sign up now to activate your personal profile, where you can save articles for future viewingWeve noticed you are using a private browser.",identities of deaf
"To continue, please log in or create an account.LOG INCREATE AN ACCOUNTSUBSCRIBEMost SLJ reviews are exclusive to subscribers.As a subscriber, you'll receive unlimited access to all reviews dating back to 2010.To access other site content, visit our homepage.SUBSCRIBESUBSCRIBE",identities of deaf
"152 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",stories
2016 FUN BILINGUAL -BIMODAL EBOOKS FOR DEAF CHILDREN : DEVELOPING LANGUAGE AND PRELITERACY SKILLS EBOOKS BIMODAIS DIVERTIDOS PARA C RIANAS SURDAS: DESENVOLVENDO A LINGUAGEM E HABILIDADES DE PR-ALFABETIZAO DIVERTIDOS LIBROS ELECTRNICOS BIMODALES BILNGES PARA NIOS SORDOS: DESARROLLANDO LA LENGUA Y LA HABILIDAD DE PRE -ESCRITA Donna Jo Napoli Eugene R. Mirus Abstract Ebooks provide new ways to advance developing literacy among deaf children.,learning sign language
"While some aim to promote literacy through explicit pedagogical techniques, the new ebooks described here aim only to offer stories that are fun to share, encouraging learning through interaction that naturally fosters language and preliter acy skills.",stories
Reading for pleasure is recognized as valuable for hearing children; it needs to be recognized as such for deaf children.,stories
"We present the rationale for these ebooks and give examples of how they advance preliteracy skills, in the hopes that those raising and educating deaf children will use them, offered gratis on the Internet.",stories
"Keywords: deaf children, literacy, ebooks, shared reading activities Introduction This paper describes ebooks of a new sort , which are offered gratis on the Internet .",stories
"They are intended to promote language skills in deaf children, leading to overall better skills, at home and at school .",learning sign language
Most of the attention with regard to literacy in deaf children is focused on print -literacy skills.,identities of deaf
"However, these ebooks also introd uce children to the mechanisms used in storytelling among the deaf, thus they promote sign -literacy skills, as well.",learning sign language
"Ph.D., Dept.",learning sign language
"of Linguistics, Swarthmore College, 500 College Ave., Swarthmore, PA, 19081, USA.",stories
"E -mail: donnajonapoli@gmail.com Ph.D., Department of ASL and Deaf Studies, Gallaudet University, 800 Florida Ave, N.E., Washington, DC, 20002, USA .",identities of deaf
"E-mail: gene.mirus@gmail.com 153 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",stories
"2016 Background The new ebooks are founded on three propositions : fun is essential to learning, deaf childrens academic achievements depend largely on a firm foundation in a first language, and shared reading activities (SRAs) can be fun events that help develop a first language.",learning sign language
"First, play is a major wa y children learn ( KUSCHNER , 2008) , allowing connections critical to reading (G AMBRELL , 2011) and math (MURAYAM A, et al.",learning sign language
", 2013).",identities of deaf
"It promotes health ( ALEXANDER, FROHLICH, & FUSCO , 2014), ethical development (E DMISTON , 2007), and lifelong happiness (M ARTIN , 2014).",stories
"Deaf p reschool ers need to explore the wo rld through play, nourishing cognitive faculties their plastic brains are prime d to develop , like language (HUMPHRIES , et al.",learning sign language
", 2012) .",identities of deaf
"Second, deaf chi ldren are at risk academically ( EASTERBROOKS , et al., 2015 ), and most point to lack of a solid language foundation (LEDERBERG, SCHICK, & SPENCER , 2013).",learning sign language
O ften deaf children are raised strictly orally; but the auditory information they receive may not prov ide language access .,identities of deaf
"A bilingual approach has a better chance of protecting academic success since exposure to an accessible language is the key to developing native -like proficiency in any language, and a solid first language foundation is also critical for the successful acquisition of a second language ( MOUNTY, PUCCI, & HARMON, 2014, p. 334).",learning sign language
"Regardless of their speech skills, d eaf children who s ign do better academically (MAYBERRY, DEL GIUDICE, & LIEBERMAN, 2011) in reading (F REEL , et al.",learning sign language
", 2011) and writing (B ASHA , 2014) , whether their parents are deaf or hearing (H ASSANZADEH , 2012) , although socio -demographic factors play a secondary role (S COTT , 2015) .",learning sign language
"Third, we accept the conclusion of the 1985 National Academy of Education Commission on Reading: The single most important activity for building the knowledge required for eventual success in reading is reading aloud to children (A NDERSON , et al.",learning sign language
", 1985, p. 23).",None
"While much research before and after has focused on monolingual hearing children, the conclusion holds for multilingual ( KALIA, 2007) and deaf ( WILLIAMS, 2004) children , too .",identities of deaf
"Thus, we interpret the 1985 conclusion to mean that shared reading activities (SR As) are fundamental to reading in mon o- and multilingual contexts whether speech is involved or not .",learning sign language
"Bilingual books in SRAs are used to enh ance print literacy around the world (SEMINGSON , POLE , & T OMMERDAHL , 2015).",learning sign language
"SRAs in crease vocabular y and teach narrative skills, 154 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",learning sign language
"2016 particularly when adult -child interaction involves higher level facilitative language technique s (TRIVETTE , DUNST, & GORMAN , 2010).",learning sign language
"W hen adults ask open -ended questions about story comprehen sion then give the child time to consider and formulate an answer, the childs preparatory skills for print literacy grow (P ETERS , 2015) , including the ability to engage in inferencing (V AN KLEECK , 2008) .Further, the benefit in SRAs lies in fun throug h interaction , not through explicit pedagogi cal behavior , that is, in simply talking about the written text (hereafter referred to simply as text) (WHITEHURST , & ZEVENBERGEN , 2003).",stories
"Many promote p edagogical SRAs for deaf chil dren, with guidelines for the parents, telling them to point to text words , fingers pell them, and sometimes even give a simple linguistic analysis of them (such as the NSF Science of Learning Center on Visual Language and Visual Learnin g (VL2) at Gallaudet University, which produces ebooks; see NAPOLI, & MIRUS, 2015).",learning sign language
"Often pedagogical SRAs focus on dialogic reading, where the parent prompts the child s response, evaluates it , expands on it, then guides the child to repeat it (FUNG, CHOW , MCBRIDE -CHANG , 2005).",learning sign language
Such SRAs are lesson s generally recommend ed for children over five.,learning sign language
What about younger children?,learning sign language
"SRAs are crucial for them (MOL, & BUS , 2011 ) and ebooks for deaf preschoolers must hold their attention .",stories
"Once the deaf childs attention strays , she is no longer receiving the book.",stories
"A hearing child cannot decide not to hear; even if her attention str ays, she is still exposed to the book .",learning sign language
Not so for the deaf child ; so fun is paramount.,identities of deaf
"For the past two decades, education scholars have shown that early cognitive work marks the emergent print literacy period (MAYER , & T REZEK , 2015) .",learning sign language
"Included in that work must be firm first language acquisi tion (BECK , & O LAH , 2001) with extensive skills in vocabulary, syntax, and discourse (D ICKINSON , MCCABE , & E SSEX , 2006) , allowing the chi ld complex interactions with capable users of the language (M AYER , & W ELLS , 1996), as well as use of language to communicate with oneself, thus transforming thought into language (W ATSON, 2001) .",learning sign language
"The distinc tion between outside -in and inside -out information (WHITEHURST , & LONIGAN , 1998) in acquiring literacy is well accepted .",learning sign language
"Outside -in information includes language development , story structure, and conceptua l knowledge associated with comprehension , but not necessarily tied to text.",learning sign language
Inside -out information includes phonological and letter knowledge closely tied to text.,learning sign language
"While much research in deaf print literacy concerns inside -out skills and focu ses on the child 5 and older , outside -in skills are foundational: 155 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",identities of deaf
2016 inside -out skills allow one to translate print into words; outside -in skills allow one to understand what those words mean.,learning sign language
"Both are essential to reading, where outside -in skills are a critical step in learning to read for meaning (WHITEHURST , & L ONIGAN , 2001, p. 14).",learning sign language
"The ebooks here aim to encourage activities that p romote outside -in information in that they advance knowledge of a sign language, facilitate metalinguistic development, promote understanding of narratives, and introduce cultural kn owledg e necessary for understand ing texts.",learning sign language
"For example, a Christmas story informs about Santa Claus and his reindeer, putting the child in a better position to read texts about Christmas traditions.",stories
"We conclude that SRAs develop skills necessary for print literacy through extensive playful language interaction ( DECKNER , ADAMSON , & BAKEMAN , 2006).",learning sign language
"Even for older children, the key to improved reading is the joy of getting lost in a narrative or being thrilled by discovery in nonfiction.",stories
"Thats what makes the hard job of learning to read worth it (WILLINGHAM , 2015, p. 182).",learning sign language
"But hearing parents do not often engage in SRAs with their deaf children (E WOLDT , 1986) and, if they do, its typically not a pleasurable experience (SCHLEPER , 1995).",identities of deaf
This needs to change.,learning sign language
SRAs for deaf c hildren Our areas of expertise led us to try to contribute toward the language development and education of deaf children by providing materials for fun SRAs.,learning sign language
"We are linguists; one of us writes childrens books; one of us is a former actor in the National Theater of the Deaf , being a deaf native signer of ASL .",identities of deaf
"With our students, we produce bilingu al-bimodal ebooks for SRAs .",learning sign language
"The ebooks have illustrations and text , plus videos in a sign language .",learning sign language
"Ebooks with a sign narrator have been shown to increase the amount of time that families with deaf children spend in SRAs, a nontrivial result since longer exposure positively impact s language and print literacy development (M UELLER , & H URTIG , 2010 ).",learning sign language
"Most of our ebooks are English/ASL ; others are English/ IrishSL, Korean/KSL , Brazilian Portuguese/ Libr as, Nepali/ NSL , and English/ Fiji SL.",learning sign language
"As of August 2015, we have produced 16, but more are in production, including Japanese/Nihon Shuwa, Greek/Greek Sign Language, and Italian/LIS.",learning sign language
"The ebooks help with language interaction by providing good sign lan guage models for the family, for without a common language , the deaf child will be left out.",learning sign language
"That fact needs to be 156 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",identities of deaf
"2016 stressed: rich manual language exchanges with their mothers, in particular, are critical to the academic success of deaf children (CALDERON, 2000).",learning sign language
"The videos in these new ebooks promote language lea rning through contextual cues (CHALHOUB -DEVILLE , 2003), integration of visual and linguistic information (TANENHAUS , et al.",learning sign language
", 1995), and a reliance on world knowledge (CHAMBERS , et al., 2002).",identities of deaf
Hearing family members can also use the text when learning to sign.,learning sign language
"The language support here is somewhat similar to that in multimedia stories for multilingual hearing children, su ch as the books created with Fabula software and used across Europe (EDWARDS , MONAGHAN , & K NIGHT , 2000) .",stories
"Fabula books are intended to support, among others, the child whose home language is a mino rity (often endangered) which differs from the school language (such as Welsh -English, or Basque -Spanish) .",stories
"The books are read on the computer, with texts in both home and school language s. Children can click on a speaker button to hear the text read in both languages.",stories
Researchers have found several advantages.,learning sign language
"First, the minority -speaking child find s support in scaffolding from reading skills (especially comprehension) in the home language to the school language.",learning sign language
"Second, the parent who speaks the minority language but doesnt read the school language can now share books with the child, and can use those books to improve their own use of the school language.",learning sign language
"Third, the majority -speaking child, who is often monolingual, becomes more aware of languag e issues in general.",learning sign language
"Similar advantages have been found in America with computer -based books using audio and video (SKOUGE , RAO, & B OISVERT, 2007).",stories
"And, on point, in a study of bilingual -bimodal ebooks with a signing narrator where hearing parents were trained on how to use the ebooks with their deaf children, even parents who were noncompliant and did not underg o the parent training learned many signs purely from watching the sign narrato r (MUELLER , & H URTIG , 2010 ).",learning sign language
"Finally, the ability to review the vi deos promotes an analytical approach to both language and story (KRENTZ , 2006).",stories
"The interaction of adult and child ren SRAs should help develop language and understanding of characterization and narrative, and establis h a love of liter ature .",learning sign language
"The nitty gritty: Selecting sources and making the ebooks We have no funding, so all books we use as a basis for producing ebook s must be in the public domain or the copyright holders must grant us their kind permission.",stories
"Deaf children (and 157 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",identities of deaf
"2016 their parents) deserve hi gh quality reading materials, which we hope to guarantee by using standardly published books or books offered on the Internet that our students unanimously agree upon and that we test on hearing children before deciding to go forth with them.",stories
"Within those limitati ons, we choose stories based on clear criteria.",stories
"All must be visually rich and relatable to deaf childrens life experience s, to provide a welcome into reading (DENNIS , LYNCH , & S TOCKALL , 2012).",identities of deaf
"For example, a book about taking a walk at night with a father and hearing an owl hoot can create a magical feeling in a hearing child but leave a deaf child baffled.",stories
"Our books deal with ordinary events like birthday pa rties (in KEVINS BIRTHDAY), as well as extraordinary but visually exciting and easily comprehensible events like a runaway baby carriage ( in THE SLANT BOOK).",stories
"In some a non -human character presents the story from a minority viewpoint, allowing de af children to identify.",identities of deaf
O ne is about a dog w ho moves to a house full of cats (in ROCKY THE C AT WHO BARKS); another is about an egg that goes hard -boiled and bounces away rather than allowing himself to get cracked ( in HUMPTY DUMPTY).,stories
"In one a character faces huge challenges , but with self -confidence and hard work, they are met a reassuring narrative (in THE LITTLE ENGINE THAT COULD).",stories
Some introduce classics that are part of the American heritage (such as TWAS THE NIGHT BEFORE CHRISTMAS and JEMIMA PUDDLE DUCK).,stories
"Four are no nfiction (produced with the kind permission of National Geographic), one relatable to the childs life ( in HALLOWEEN), two presenting information preschoolers are general ly held responsible for, metamorphosis and knowledge of African animals ( in CATERPILLA R TO BUTTERFLY and in SAFARI), and one presenting just plain old fun information for any child ( in RACE DAY).",stories
"Most t hus far target the 3 and 4 year old , but a few are for toddlers .",stories
"Once weve chosen a book, our students take over and we serve as sounding boards and guides .",stories
"Half our students are at Gallaude t University and the other half, at Swarthmore College.",learning sign language
"All consult on format ting, such as whether to place the signer in a frame or surrounded by the background illustration.",learning sign language
All have studied deaf li terature and consult on how to tell the story .,identities of deaf
Gallaudet students act; our actors are deaf and signing is their primary and preferred mode of communication.,identities of deaf
Swarthmore students edit the film and do the production work .,identities of deaf
"All give feedback on acting, editin g, and production .",stories
"All ebooks for deaf children (not just ours) use storytelling techniques of sign literature : the visual vernacular (R IGGS , 2003 ), thus developing sign -literacy skills in the readers.",stories
"These 158 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",stories
"2016 techniques lack counterpart s in writing, although texts can approximate : ALL CAPITALS for loudness, italics for emphasis, arrangement of letters to indicat e s l o w action .",learning sign language
"However, visual -vernacular techniques have spoken counterparts in the form of voice alterations (GREENE BRABHAM , & L YNCH -BROWN , 2002) .",identities of deaf
"Certain visual -vernacular techniques give the deaf child advantages analogous to advantages reading aloud gives the hearing child (NAPOLI , & M IRUS , 2015 ).",learning sign language
One such technique is varying motion speed (support for narrative changes).,learning sign language
"Another is varying shot di stance , for example, showing a ho rse up close by letting the fists become the hooves, or at middle -range by le tting the nondominant hand become the horse while the dominant hand is a rider on the horse, or at a distance by having the two index fingers brush past each other like horses in a race seen from the stands (help in interpret ing how illustrations relate to plot).",learning sign language
"A third is role shift , whereby the signer embodies one charac ter, then shifts (torso, head , or gaze) to embody another character (help in understanding ch aracterization and develop ing Theory of Mind see S CHICK , et al.",learning sign language
", 2007 ).",Caring for the Deaf Patient
"But there is a critical way our ebooks differ from others: we encourage our signers to read the story, let it roll a round in their minds , then tell it without attemp ting to translate, in a way natural for them.",stories
"They practice to each other and to deaf people outside class , including children.",learning sign language
"Final versions tend to integrate information fro m text and illustrations, and even new information that the class agrees fits (we discuss an example of th is below).",learning sign language
"This kind of freedom respects the signers creativity and has led to excellent language modeling and, we believe, more fun.",learning sign language
"With regard to language modeling, generally sign performers set the scene by using signs to present an essentially static image before creating movin g characters (S UTTON -SPENCE , & KANEKO , 2016 , p. 168).",learning sign language
"Strict adherence to a text, in contrast , can result in grammatical but atypical signing.",learning sign language
"And we note that signing d eaf parents do not feel constrained by text in SRAs with t heir deaf children (S WANWICK , & WATSON , 2005) , just as hearing parents dont when reading to their hearing children .",learning sign language
"The signers in our ebooks likewise are not constrained; they use accessible , uncontrived language .",learning sign language
"The acting creates visual images, then uses pauses to allow images to take hold, empowering the reader to imagine more (just as sign literature should do; R YAN , 1993) .",learning sign language
"These video clips promote metalinguistic knowledge of sign languages, since the child can explore and develop knowledge of a particular sign language 159 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",learning sign language
"2016 (another facet common to sign literature; B ASCOM , 1965) as well as increase world knowledge and create identity (a third facet of sign literature; S UTTON -SPENCE, & KANEKO , 2016 ).",identities of deaf
"With regard to fun, the relative autonomy of the signers allow s them to enjoy develop ing their own metho ds, making each ebook unique, a welcome result since the complex differences in learning behaviors indicate that children should be offered reading materials which employ varying different strategies in helping decode and understand (M OORE , & WADE , 1998).",learning sign language
Analysis of the new ebooks We here describe how the new ebooks can help by offering discussion of one : TWAS THE NIGHT BEFORE CHRISTMAS : https://www.youtube.com/watch?v=42nXcSIebPE .,stories
This is representative of our ebooks for the older preschooler .,stories
"Since it is a classic tale, we do not give the entire text, but simply zoom in on specific points.",stories
"The signer , Caleb Joshua Smith, has given us his permission to discuss every aspect of his work .",identities of deaf
Many of the decisions concerning how he would sign were made collaboratively with class members .,learning sign language
Overall organization of original text and of sign r endering This text consists of 28 rhyming couplets.,learning sign language
The spoken rhyme is tyrannical with respect to organization of the text.,learning sign language
"First, it ignores change of focus, as seen in this example: He had a broad face and a little round belly, / that shook when he laughed, like a bowl full of jelly.",learning sign language
"He was chubby an d plump, a right jolly old elf,/ and I laughed when I saw him, in spite of myself.",stories
"The first three lines concern the appea rance of Santa; the fourth, the narrators reaction .",stories
But rhyme forces couplets.,stories
"The book designer, however, laid out the text across three pages of the original storybook: He had a broad face and a little round belly, That shook when he laughed, like a bowl full of jelly.",stories
"160 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",learning sign language
"2016 He was chubby and plump, a right jolly old elf, And I laughed when I saw him, in spite of myself.",stories
Here the layout does not respect the couplet structure; the second page straddles two couplets.,stories
"Our signer, in comparison , produced 37 video clips overall , whe re most clips corresponded to a page of text, but several times two clips correspond ed to a page .",learning sign language
"He grouped these four lines (that is, the two couplets) above as follows , where numbers indicate the minute and second clips begin and e nd in the YouTube video that you can watch : 4:08-4:12 He had a broad face and a little round belly , 4:13-4:18 that shook when he laughed, like a bowl full of jelly.",learning sign language
"He was chubby and plump, a right jolly old elf, 4:19-4:26 and I laughed when I saw him, in spite of myself.",stories
"Thus there are three clips, rather than two couplets; the shift in focus from Santa to the narrator coincides with a change in clips, enhancing the childs understanding of that shift .",learning sign language
"So the signer was lockstep with the text layout which also, appropria tely, highlighted the narrative rather than the rhyme scheme.",stories
"In the text , rhyme also overrides narrative shifts.",stories
"For example, here are two couplets: A wink of his eye and a twist of his head/ soon gave me to know I had nothing to dread.",stories
"He spoke not a word, but went straight to his work, / and filled all the stockings, then turned with a jerk.",stories
"Our signer, instead, prese nts the information in two clips this way: 4:27-4:32A wink of his eye and a twist of his head /soon gave me to know I had nothing to dread.",learning sign language
"He spoke not a word 4:33-4:44 but went stra ight to his work,/ and filled all the stockings, then turned with a jerk.",stories
"161 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",stories
"2016 The clip organization corresponds to action organization (before and after Santa begins working) , rather than text rhyme organization; thus the clip organization reinforces the narrative for the child.",stories
"Finally, our signer omitted the couplet As dry leaves that before the wild h urricane fly,/when they meet with an obstacle, mount to the sky .",learning sign language
This complex text metaphor neither clarifies nor advances the narrative .,identities of deaf
Plus the s yntax is convoluted to facilitat e rhyme .,learning sign language
No one who has yet shared this ebook has complained to us about the missing couplet .,stories
It seems quite skip-able.,learning sign language
"In sum, our signers clip organization gives consistent support to narrative understanding .",learning sign language
